depth_tag;target;algo;params;ok;reason;n;k_used;cv_group;rmse;rmse_std;r2;r2_std
dados_010;densidade;ridge;"{""alpha"": 0.0}";True;;108;3;parcela;0.5250087962383803;0.16642046589310142;-2.230000623928133;4.223845295796592
dados_010;densidade;ridge;"{""alpha"": 0.01}";True;;108;3;parcela;0.5249452989596649;0.1663043435343977;-2.228564228999335;4.2219204532162005
dados_010;densidade;ridge;"{""alpha"": 0.1}";True;;108;3;parcela;0.5243838217589373;0.1652571229810706;-2.2161435809163597;4.205308682375887
dados_010;densidade;ridge;"{""alpha"": 1.0}";True;;108;3;parcela;0.5195507213831511;0.15470626282407382;-2.1308733580816974;4.093779881315864
dados_010;densidade;ridge;"{""alpha"": 10.0}";True;;108;3;parcela;0.4924688663584802;0.08911023205639548;-2.1673726670219975;4.200898501732466
dados_010;densidade;ridge;"{""alpha"": 100.0}";True;;108;3;parcela;0.5846888013102505;0.2586124561096509;-1.3512601796399377;2.8123463138513447
dados_010;densidade;rf;"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.3940067768233988;0.3298421957353331;0.5658559653308602;0.31371600372676445
dados_010;densidade;rf;"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.43570608459305094;0.27834013698807797;0.5542709897903927;0.2965658686217715
dados_010;densidade;rf;"{""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.6011099922971488;0.3644848657979485;0.4577697855267866;0.13796469576458417
dados_010;densidade;rf;"{""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.406108849804385;0.32569431091559387;0.3665576707607899;0.5630289518962925
dados_010;densidade;rf;"{""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.43900125214575203;0.2727206241604239;0.4410136624453977;0.45059708791352654
dados_010;densidade;rf;"{""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.6103532183662913;0.35224995386458563;0.3194514824771408;0.3138345321159683
dados_010;densidade;rf;"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.3997612112016296;0.32540249256532594;0.49843465401468706;0.3940104375883176
dados_010;densidade;rf;"{""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.4382634178899647;0.27522059342169714;0.5132244694846321;0.35020787222415023
dados_010;densidade;rf;"{""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.6026541150414031;0.36254104882591537;0.43717190720908944;0.1614212237666325
dados_010;densidade;rf;"{""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 600}";True;;108;3;parcela;0.3942975903394232;0.32820080459312545;0.5521781373282405;0.33037613188575465
dados_010;densidade;rf;"{""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 600}";True;;108;3;parcela;0.4357955578417807;0.27845688994719914;0.5563513146049622;0.2936124524943021
dados_010;densidade;rf;"{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 600}";True;;108;3;parcela;0.6011103639188454;0.3644843562208961;0.4577647018031676;0.13797025179728503
