ano,profundidade_cm,parcela,cultura,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
,0-10,MT,Sunn hemp,0.44606289037369584,0.8695477266987731,0.6578053085362345,-0.39109188779398635,-0.31732570636322543,2.0,1.0502593870910832,2.1,55.8,23.0,14666.666666666666,15833.333333333334,12166.666666666666,3183.3333333333335,12166.666666666666
,0-10,MT,Sunn hemp,-0.43374327056988843,-0.47185566088619296,-0.4527994657280407,-0.4180883084627633,-0.3467272994103121,43.2,1.0502593870910832,2.25,55.8,23.0,14666.666666666666,15833.333333333334,12166.666666666666,3183.3333333333335,12166.666666666666
,0-10,MT,Sunn hemp,-0.46570320941008647,-0.6094645272267052,-0.5375838683183958,-0.03525954789469039,0.01226777389713292,2.6,0.6154386217349023,2.1,52.827999999999996,21.0,15500.0,13166.666666666666,4166.666666666667,1116.6666666666667,4166.666666666667
,0-10,MT,Sunn hemp,6.298769999112172,-0.7481250883446939,2.775322455383739,-0.0629064847241611,-0.01545037020676716,18.0,0.6154386217349023,2.05,52.827999999999996,21.0,15500.0,13166.666666666666,4166.666666666667,1116.6666666666667,4166.666666666667
,0-10,MT,Sunn hemp,-0.3338125697712731,-0.1327963895113456,-0.23330447964130935,-0.08372300186634979,-0.03632050223793784,9.0,0.6154386217349023,2.05,52.827999999999996,21.0,15500.0,13166.666666666666,4166.666666666667,1116.6666666666667,4166.666666666667
,0-10,MT,Pigeon pea,-0.1566338711497399,0.17760329565941363,0.010484712254836867,-0.3845867261870521,-0.29556667356264327,14.7,0.8763310809486109,2.4,56.2,21.2,14500.0,14333.333333333334,11166.666666666666,3000.0,11166.666666666666
,0-10,MT,Pigeon pea,0.21084428909790823,0.8460190892912302,0.5284316891945692,-0.3832856938656601,-0.29409013820637725,4.1,0.8763310809486109,2.3,56.2,21.2,14500.0,14333.333333333334,11166.666666666666,3000.0,11166.666666666666
,0-10,MT,Pigeon pea,-0.43556890376130397,-0.5923183399120272,-0.5139436218366655,-0.3527114343130749,-0.2593915573341197,2.8,0.8763310809486109,2.36,56.2,21.2,14500.0,14333.333333333334,11166.666666666666,3000.0,11166.666666666666
,0-10,MT,Pigeon pea,-0.5281479522025807,-0.7952499979245562,-0.6616989750635685,-0.25513401020906507,-0.12804777828293543,10.533,0.9632952340198471,2.3,57.6,21.4,15500.0,16166.666666666666,13833.333333333334,3500.0,13833.333333333334
,0-10,MT,Pigeon pea,-0.4470161393377234,-0.5812479229171064,-0.5141320311274149,-0.32604027172464445,-0.21176667085975223,10.533,0.9632952340198471,2.3,57.6,21.4,15500.0,16166.666666666666,13833.333333333334,3500.0,13833.333333333334
,0-10,MT,Pigeon pea,-0.4328528008165888,-0.3939941066389198,-0.4134234537277543,-0.23464275114722266,-0.10385378639146985,10.533,0.9632952340198471,2.1,57.6,21.4,15500.0,16166.666666666666,13833.333333333334,3500.0,13833.333333333334
